"category","reviews_count","rating","number_of_apps","percentage"
"Finding and adding products",5,2.6,1,0.40
"Finding and adding products",15,2.6,1,0.40
"Finding and adding products",64,2.6,1,0.40
"Finding and adding products",4,2.7,1,0.40
"Finding and adding products",13,2.8,1,0.40
"Finding and adding products",80,2.8,1,0.40
"Finding and adding products",15,2.9,1,0.40
"Finding and adding products",2,3,3,1.19
"Finding and adding products",1,3,1,0.40
"Finding and adding products",5,3,1,0.40
"Finding and adding products",55,3.1,2,0.79
"Finding and adding products",67,3.1,1,0.40
"Finding and adding products",11,3.2,1,0.40
"Finding and adding products",17,3.2,1,0.40
"Finding and adding products",60,3.2,1,0.40
"Finding and adding products",62,3.2,1,0.40
"Finding and adding products",71,3.2,1,0.40
"Finding and adding products",101,3.2,1,0.40
"Finding and adding products",409,3.2,1,0.40
"Finding and adding products",47,3.3,1,0.40
"Finding and adding products",49,3.3,1,0.40
"Finding and adding products",14,3.4,1,0.40
"Finding and adding products",82,3.4,1,0.40
"Finding and adding products",6,3.5,1,0.40
"Finding and adding products",30,3.5,1,0.40
"Finding and adding products",35,3.5,1,0.40
"Finding and adding products",10,3.6,1,0.40
"Finding and adding products",21,3.6,1,0.40
"Finding and adding products",11,3.7,1,0.40
"Finding and adding products",44,3.7,1,0.40
"Finding and adding products",76,3.7,1,0.40
"Finding and adding products",4,3.8,1,0.40
"Finding and adding products",26,3.8,1,0.40
"Finding and adding products",221,3.8,1,0.40
"Finding and adding products",7,3.9,2,0.79
"Finding and adding products",9,3.9,1,0.40
"Finding and adding products",14,3.9,1,0.40
"Finding and adding products",63,3.9,1,0.40
"Finding and adding products",102,3.9,1,0.40
"Finding and adding products",1,4,2,0.79
"Finding and adding products",2,4,1,0.40
"Finding and adding products",4,4,1,0.40
"Finding and adding products",7,4,1,0.40
"Finding and adding products",12,4,1,0.40
"Finding and adding products",13,4,1,0.40
"Finding and adding products",46,4,1,0.40
"Finding and adding products",126,4,1,0.40
"Finding and adding products",20,4.1,2,0.79
"Finding and adding products",6,4.1,1,0.40
"Finding and adding products",11,4.1,1,0.40
"Finding and adding products",106,4.1,1,0.40
"Finding and adding products",130,4.1,1,0.40
"Finding and adding products",18,4.2,1,0.40
"Finding and adding products",39,4.2,1,0.40
"Finding and adding products",43,4.2,1,0.40
"Finding and adding products",137,4.2,1,0.40
"Finding and adding products",145,4.2,1,0.40
"Finding and adding products",176,4.2,1,0.40
"Finding and adding products",216,4.2,1,0.40
"Finding and adding products",439,4.2,1,0.40
"Finding and adding products",2351,4.2,1,0.40
"Finding and adding products",16,4.3,1,0.40
"Finding and adding products",34,4.3,1,0.40
"Finding and adding products",38,4.3,1,0.40
"Finding and adding products",43,4.3,1,0.40
"Finding and adding products",56,4.3,1,0.40
"Finding and adding products",66,4.3,1,0.40
"Finding and adding products",207,4.3,1,0.40
"Finding and adding products",337,4.3,1,0.40
"Finding and adding products",509,4.3,1,0.40
"Finding and adding products",697,4.3,1,0.40
"Finding and adding products",1462,4.3,1,0.40
"Finding and adding products",11,4.4,1,0.40
"Finding and adding products",13,4.4,1,0.40
"Finding and adding products",18,4.4,1,0.40
"Finding and adding products",52,4.4,1,0.40
"Finding and adding products",111,4.4,1,0.40
"Finding and adding products",121,4.4,1,0.40
"Finding and adding products",153,4.4,1,0.40
"Finding and adding products",210,4.4,1,0.40
"Finding and adding products",812,4.4,1,0.40
"Finding and adding products",3025,4.4,1,0.40
"Finding and adding products",4,4.5,1,0.40
"Finding and adding products",7,4.5,1,0.40
"Finding and adding products",9,4.5,1,0.40
"Finding and adding products",11,4.5,1,0.40
"Finding and adding products",22,4.5,1,0.40
"Finding and adding products",28,4.5,1,0.40
"Finding and adding products",47,4.5,1,0.40
"Finding and adding products",50,4.5,1,0.40
"Finding and adding products",92,4.5,1,0.40
"Finding and adding products",162,4.5,1,0.40
"Finding and adding products",378,4.5,1,0.40
"Finding and adding products",43,4.6,2,0.79
"Finding and adding products",5,4.6,1,0.40
"Finding and adding products",42,4.6,1,0.40
"Finding and adding products",51,4.6,1,0.40
"Finding and adding products",129,4.6,1,0.40
"Finding and adding products",267,4.6,1,0.40
"Finding and adding products",538,4.6,1,0.40
"Finding and adding products",562,4.6,1,0.40
"Finding and adding products",1948,4.6,1,0.40
"Finding and adding products",25,4.7,2,0.79
"Finding and adding products",6,4.7,1,0.40
"Finding and adding products",476,4.7,1,0.40
"Finding and adding products",648,4.7,1,0.40
"Finding and adding products",1122,4.7,1,0.40
"Finding and adding products",6,4.8,1,0.40
"Finding and adding products",9,4.8,1,0.40
"Finding and adding products",11,4.8,1,0.40
"Finding and adding products",17,4.8,1,0.40
"Finding and adding products",118,4.8,1,0.40
"Finding and adding products",226,4.8,1,0.40
"Finding and adding products",238,4.8,1,0.40
"Finding and adding products",240,4.8,1,0.40
"Finding and adding products",515,4.8,1,0.40
"Finding and adding products",631,4.8,1,0.40
"Finding and adding products",898,4.8,1,0.40
"Finding and adding products",9,4.9,1,0.40
"Finding and adding products",15,4.9,1,0.40
"Finding and adding products",30,4.9,1,0.40
"Finding and adding products",70,4.9,1,0.40
"Finding and adding products",84,4.9,1,0.40
"Finding and adding products",108,4.9,1,0.40
"Finding and adding products",210,4.9,1,0.40
"Finding and adding products",257,4.9,1,0.40
"Finding and adding products",313,4.9,1,0.40
"Finding and adding products",352,4.9,1,0.40
"Finding and adding products",1,5,12,4.76
"Finding and adding products",2,5,12,4.76
"Finding and adding products",4,5,5,1.98
"Finding and adding products",5,5,3,1.19
"Finding and adding products",3,5,2,0.79
"Finding and adding products",6,5,1,0.40
"Finding and adding products",8,5,1,0.40
"Finding and adding products",12,5,1,0.40
"Finding and adding products",13,5,1,0.40
"Finding and adding products",15,5,1,0.40
"Finding and adding products",22,5,1,0.40
"Finding and adding products",83,5,1,0.40
"Finding and adding products",126,5,1,0.40
"Finding and adding products",142,5,1,0.40
"Finding and adding products",211,5,1,0.40
"Finding and adding products",226,5,1,0.40
"Inventory management",0,0,73,21.35
"Inventory management",1,1,6,1.75
"Inventory management",2,1,5,1.46
"Inventory management",4,1,1,0.29
"Inventory management",7,1.5,1,0.29
"Inventory management",2,1.6,1,0.29
"Inventory management",4,1.6,1,0.29
"Inventory management",42,1.8,1,0.29
"Inventory management",1,2,1,0.29
"Inventory management",5,2,1,0.29
"Inventory management",6,2,1,0.29
"Inventory management",7,2.1,1,0.29
"Inventory management",3,2.2,1,0.29
"Inventory management",8,2.2,1,0.29
"Inventory management",6,2.3,1,0.29
"Inventory management",5,2.4,1,0.29
"Inventory management",7,2.4,1,0.29
"Inventory management",327,2.4,1,0.29
"Inventory management",9,2.5,1,0.29
"Inventory management",3,2.6,1,0.29
"Inventory management",4,2.6,1,0.29
"Inventory management",5,2.6,1,0.29
"Inventory management",9,2.6,1,0.29
"Inventory management",64,2.6,1,0.29
"Inventory management",6,2.8,1,0.29
"Inventory management",34,2.8,1,0.29
"Inventory management",3,2.9,1,0.29
"Inventory management",81,2.9,1,0.29
"Inventory management",1,3,1,0.29
"Inventory management",3,3,1,0.29
"Inventory management",4,3,1,0.29
"Inventory management",29,3.1,1,0.29
"Inventory management",7,3.2,1,0.29
"Inventory management",10,3.2,1,0.29
"Inventory management",5,3.3,1,0.29
"Inventory management",5,3.4,1,0.29
"Inventory management",11,3.4,1,0.29
"Inventory management",19,3.4,1,0.29
"Inventory management",82,3.4,1,0.29
"Inventory management",155,3.4,1,0.29
"Inventory management",2,3.5,1,0.29
"Inventory management",30,3.5,1,0.29
"Inventory management",7,3.6,1,0.29
"Inventory management",10,3.6,1,0.29
"Inventory management",12,3.6,1,0.29
"Inventory management",24,3.6,1,0.29
"Inventory management",3,3.7,1,0.29
"Inventory management",7,3.7,1,0.29
"Inventory management",11,3.7,1,0.29
"Inventory management",21,3.7,1,0.29
"Inventory management",82,3.7,1,0.29
"Inventory management",165,3.7,1,0.29
"Inventory management",5,3.8,1,0.29
"Inventory management",6,3.8,1,0.29
"Inventory management",23,3.8,1,0.29
"Inventory management",399,3.8,1,0.29
"Inventory management",7,3.9,1,0.29
"Inventory management",16,3.9,1,0.29
"Inventory management",102,3.9,1,0.29
"Inventory management",1,4,1,0.29
"Inventory management",4,4,1,0.29
"Inventory management",5,4,1,0.29
"Inventory management",21,4,1,0.29
"Inventory management",4,4.1,1,0.29
"Inventory management",12,4.1,1,0.29
"Inventory management",20,4.1,1,0.29
"Inventory management",24,4.1,1,0.29
"Inventory management",53,4.1,1,0.29
"Inventory management",64,4.1,1,0.29
"Inventory management",117,4.1,1,0.29
"Inventory management",18,4.2,2,0.58
"Inventory management",4,4.2,1,0.29
"Inventory management",19,4.2,1,0.29
"Inventory management",36,4.2,1,0.29
"Inventory management",38,4.2,1,0.29
"Inventory management",4,4.3,1,0.29
"Inventory management",9,4.3,1,0.29
"Inventory management",27,4.3,1,0.29
"Inventory management",37,4.3,1,0.29
"Inventory management",66,4.3,1,0.29
"Inventory management",76,4.3,1,0.29
"Inventory management",131,4.3,1,0.29
"Inventory management",6,4.4,2,0.58
"Inventory management",10,4.4,1,0.29
"Inventory management",13,4.4,1,0.29
"Inventory management",15,4.4,1,0.29
"Inventory management",39,4.4,1,0.29
"Inventory management",52,4.4,1,0.29
"Inventory management",2,4.5,1,0.29
"Inventory management",6,4.5,1,0.29
"Inventory management",8,4.5,1,0.29
"Inventory management",11,4.5,1,0.29
"Inventory management",18,4.5,1,0.29
"Inventory management",20,4.5,1,0.29
"Inventory management",24,4.5,1,0.29
"Inventory management",39,4.5,1,0.29
"Inventory management",112,4.5,1,0.29
"Inventory management",121,4.5,1,0.29
"Inventory management",5,4.6,1,0.29
"Inventory management",6,4.6,1,0.29
"Inventory management",7,4.6,1,0.29
"Inventory management",9,4.6,1,0.29
"Inventory management",17,4.6,1,0.29
"Inventory management",20,4.6,1,0.29
"Inventory management",31,4.6,1,0.29
"Inventory management",67,4.6,1,0.29
"Inventory management",83,4.6,1,0.29
"Inventory management",118,4.6,1,0.29
"Inventory management",129,4.6,1,0.29
"Inventory management",331,4.6,1,0.29
"Inventory management",4,4.7,1,0.29
"Inventory management",6,4.7,1,0.29
"Inventory management",13,4.7,1,0.29
"Inventory management",24,4.7,1,0.29
"Inventory management",34,4.7,1,0.29
"Inventory management",52,4.7,1,0.29
"Inventory management",59,4.7,1,0.29
"Inventory management",77,4.7,1,0.29
"Inventory management",84,4.7,1,0.29
"Inventory management",87,4.7,1,0.29
"Inventory management",128,4.7,1,0.29
"Inventory management",328,4.7,1,0.29
"Inventory management",476,4.7,1,0.29
"Inventory management",71,4.8,2,0.58
"Inventory management",3,4.8,1,0.29
"Inventory management",11,4.8,1,0.29
"Inventory management",23,4.8,1,0.29
"Inventory management",29,4.8,1,0.29
"Inventory management",38,4.8,1,0.29
"Inventory management",41,4.8,1,0.29
"Inventory management",44,4.8,1,0.29
"Inventory management",50,4.8,1,0.29
"Inventory management",56,4.8,1,0.29
"Inventory management",74,4.8,1,0.29
"Inventory management",83,4.8,1,0.29
"Inventory management",141,4.8,1,0.29
"Inventory management",239,4.8,1,0.29
"Inventory management",346,4.8,1,0.29
"Inventory management",380,4.8,1,0.29
"Inventory management",437,4.8,1,0.29
"Inventory management",631,4.8,1,0.29
"Inventory management",1175,4.8,1,0.29
"Inventory management",37,4.9,2,0.58
"Inventory management",7,4.9,1,0.29
"Inventory management",8,4.9,1,0.29
"Inventory management",9,4.9,1,0.29
"Inventory management",14,4.9,1,0.29
"Inventory management",32,4.9,1,0.29
"Inventory management",34,4.9,1,0.29
"Inventory management",45,4.9,1,0.29
"Inventory management",58,4.9,1,0.29
"Inventory management",95,4.9,1,0.29
"Inventory management",122,4.9,1,0.29
"Inventory management",155,4.9,1,0.29
"Inventory management",234,4.9,1,0.29
"Inventory management",252,4.9,1,0.29
"Inventory management",283,4.9,1,0.29
"Inventory management",313,4.9,1,0.29
"Inventory management",352,4.9,1,0.29
"Inventory management",437,4.9,1,0.29
"Inventory management",1,5,31,9.06
"Inventory management",2,5,21,6.14
"Inventory management",5,5,7,2.05
"Inventory management",3,5,5,1.46
"Inventory management",4,5,3,0.88
"Inventory management",8,5,3,0.88
"Inventory management",6,5,2,0.58
"Inventory management",9,5,2,0.58
"Inventory management",17,5,2,0.58
"Inventory management",20,5,2,0.58
"Inventory management",22,5,2,0.58
"Inventory management",12,5,1,0.29
"Inventory management",15,5,1,0.29
"Inventory management",16,5,1,0.29
"Inventory management",19,5,1,0.29
"Inventory management",24,5,1,0.29
"Inventory management",28,5,1,0.29
"Inventory management",32,5,1,0.29
"Inventory management",35,5,1,0.29
"Inventory management",40,5,1,0.29
"Inventory management",48,5,1,0.29
"Inventory management",49,5,1,0.29
"Inventory management",54,5,1,0.29
"Inventory management",61,5,1,0.29
"Inventory management",63,5,1,0.29
"Inventory management",102,5,1,0.29
"Inventory management",154,5,1,0.29
"Inventory management",211,5,1,0.29
"Marketing",0,0,203,19.01
"Marketing",1,1,21,1.97
"Marketing",2,1,5,0.47
"Marketing",4,1,1,0.09
"Marketing",9,1.5,1,0.09
"Marketing",2,1.6,1,0.09
"Marketing",3,1.6,1,0.09
"Marketing",5,1.6,1,0.09
"Marketing",3,1.7,2,0.19
"Marketing",4,1.7,1,0.09
"Marketing",7,1.9,1,0.09
"Marketing",1,2,3,0.28
"Marketing",5,2,1,0.09
"Marketing",6,2,1,0.09
"Marketing",53,2,1,0.09
"Marketing",4,2.1,1,0.09
"Marketing",5,2.1,1,0.09
"Marketing",13,2.1,1,0.09
"Marketing",7,2.2,1,0.09
"Marketing",8,2.2,1,0.09
"Marketing",10,2.3,2,0.19
"Marketing",3,2.3,1,0.09
"Marketing",9,2.3,1,0.09
"Marketing",5,2.4,1,0.09
"Marketing",52,2.4,1,0.09
"Marketing",6,2.5,1,0.09
"Marketing",10,2.5,1,0.09
"Marketing",2,2.6,1,0.09
"Marketing",13,2.6,1,0.09
"Marketing",23,2.6,1,0.09
"Marketing",2,2.7,1,0.09
"Marketing",4,2.7,1,0.09
"Marketing",977,2.7,1,0.09
"Marketing",8,2.8,2,0.19
"Marketing",5,2.8,1,0.09
"Marketing",13,2.8,1,0.09
"Marketing",14,2.8,1,0.09
"Marketing",2,2.9,2,0.19
"Marketing",4,2.9,1,0.09
"Marketing",5,2.9,1,0.09
"Marketing",2,3,4,0.37
"Marketing",4,3,3,0.28
"Marketing",1,3,2,0.19
"Marketing",3,3,1,0.09
"Marketing",8,3,1,0.09
"Marketing",12,3,1,0.09
"Marketing",14,3,1,0.09
"Marketing",36,3,1,0.09
"Marketing",98,3,1,0.09
"Marketing",7,3.1,1,0.09
"Marketing",9,3.1,1,0.09
"Marketing",14,3.1,1,0.09
"Marketing",9,3.2,2,0.19
"Marketing",3,3.2,1,0.09
"Marketing",10,3.2,1,0.09
"Marketing",11,3.2,1,0.09
"Marketing",21,3.2,1,0.09
"Marketing",18,3.3,3,0.28
"Marketing",2,3.3,2,0.19
"Marketing",3,3.3,1,0.09
"Marketing",4,3.3,1,0.09
"Marketing",6,3.3,1,0.09
"Marketing",8,3.3,1,0.09
"Marketing",9,3.3,1,0.09
"Marketing",39,3.3,1,0.09
"Marketing",93,3.3,1,0.09
"Marketing",8,3.4,1,0.09
"Marketing",9,3.4,1,0.09
"Marketing",63,3.4,1,0.09
"Marketing",2,3.5,2,0.19
"Marketing",10,3.5,2,0.19
"Marketing",4,3.5,1,0.09
"Marketing",23,3.5,1,0.09
"Marketing",27,3.5,1,0.09
"Marketing",29,3.5,1,0.09
"Marketing",30,3.5,1,0.09
"Marketing",32,3.5,1,0.09
"Marketing",69,3.5,1,0.09
"Marketing",3,3.6,2,0.19
"Marketing",4,3.6,1,0.09
"Marketing",7,3.6,1,0.09
"Marketing",12,3.6,1,0.09
"Marketing",16,3.6,1,0.09
"Marketing",19,3.6,1,0.09
"Marketing",35,3.6,1,0.09
"Marketing",3,3.7,2,0.19
"Marketing",12,3.7,2,0.19
"Marketing",4,3.7,1,0.09
"Marketing",7,3.7,1,0.09
"Marketing",10,3.7,1,0.09
"Marketing",11,3.7,1,0.09
"Marketing",14,3.7,1,0.09
"Marketing",16,3.7,1,0.09
"Marketing",17,3.7,1,0.09
"Marketing",32,3.7,1,0.09
"Marketing",167,3.7,1,0.09
"Marketing",3,3.8,2,0.19
"Marketing",12,3.8,2,0.19
"Marketing",10,3.8,1,0.09
"Marketing",20,3.8,1,0.09
"Marketing",37,3.8,1,0.09
"Marketing",479,3.8,1,0.09
"Marketing",3,3.9,1,0.09
"Marketing",4,3.9,1,0.09
"Marketing",9,3.9,1,0.09
"Marketing",12,3.9,1,0.09
"Marketing",28,3.9,1,0.09
"Marketing",53,3.9,1,0.09
"Marketing",123,3.9,1,0.09
"Marketing",332,3.9,1,0.09
"Marketing",1,4,4,0.37
"Marketing",2,4,4,0.37
"Marketing",5,4,2,0.19
"Marketing",12,4,2,0.19
"Marketing",3,4,1,0.09
"Marketing",4,4,1,0.09
"Marketing",6,4,1,0.09
"Marketing",7,4,1,0.09
"Marketing",18,4,1,0.09
"Marketing",19,4,1,0.09
"Marketing",20,4,1,0.09
"Marketing",21,4,1,0.09
"Marketing",50,4,1,0.09
"Marketing",57,4,1,0.09
